"1	1701	H@PPYPIECE	36877554"
"2	500000000000000502	HHV(仮)	32924630"
"3	3583	N@DESHIKO	30935260"
"4	1200000000000001065	中二病奥義•三曲の極み	26023166"
"5	100000000000003573	ミリPの集い	24964801"
"6	1100000000000000441	7144プロ@ラウメン募集	23863769"
"7	700000000000004707	新月会	23848249"
"8	800000000000004998	†芹澤優単推し†	22931797"
"9	100000000000000861	RE→ST@RT@ﾗｳﾒﾝ募集中	22833214"
"10	500000000000004731	おまつり日和	22116916"
"11	600000000000004925	Dreaming!(❄️)	20119242"
"12	1300000000000004000	(*>△<)<ナーンナーンっっ	20004286"
"13	1000000000000000962	765飯店	19933165"
"14	200000000000001454	中二病でも恋がしたい・戀	19894148"
"15	300000000000004806	ｽﾍﾞｯても平気なﾗｳﾝｼﾞ	19744115"
"16	400000000000004740	10/4ラウンジ	19594105"
"17	200000000000001168	🌱もやし生活始めました🌱	18900863"
"18	1000000000000001661	👻レアドロ👻は都市伝説💤	18144044"
"19	1000000000000005146	ホワイトボードフェスタ	17681742"
"20	200000000000001721	ソプラノ歌劇団	17541955"
"21	400000000000001061	みんなと、いっしょに！	17279257"
"22	1100000000000003942	Growing Storm!	17278039"
"23	10	もちょ(●・▽・●)	16150761"
"24	1300000000000000946	First Step	15591903"
"25	1300000000000001517	AT1プロデュース	15391327"
"26	900000000000000605	765らうんじ	14682382"
"27	500000000000002640	アイマス同好会	14594201"
"28	700000000000000877	mayちゃん家	14569630"
"29	400000000000000749	アイドルと機関銃🆒	14444116"
"30	1100000000000004698	佐竹保育園☆りたーんず	13710503"
"31	600000000000000108	765PRO	13500160"
"32	500000000000000080	ラビットカリバー	13391786"
"33	600000000000002383	ＲＥＣ＠ＬＤＥＮＴ	13370530"
"34	200000000000000623	プロジェクトイオリー	13281656"
"35	1500000000000003422	天模様	13242059"
"36	900000000000001054	なんでも実況Jリーグ	13190650"
"37	1200000000000004966	LiFE!	12907410"
"38	1500000000000004429	R-Gray	12563951"
"39	1000000000000004785	サービス残業	12219281"
"40	1300000000000002591	STUDIO OSAGE	12183244"
"41	900000000000001214	おはぎとお茶と時々ハト	12108342"
"42	200000000000000302	SNK	11894488"
"43	1500000000000004612	杏奈ちゃんかわいい	11857365"
"44	1400000000000000239	NouvelleVague	11716618"
"45	400000000000000741	風雲765城	11710919"
"46	200000000000000273	バルバルーサ	11641230"
"47	1000000000000001141	F@ll ahead P	11384817"
"48	500000000000000896	如月重工	11381985"
"49	500000000000000853	ロコワールド	11209866"
"50	700000000000000793	ネロ	11131273"
"51	700000000000000909	超A&G+	11076491"
"52	600000000000001379	サンフラワー	10987981"
"53	500000000000000141	無課金の鬼	10856286"
"54	500000000000004166	R A Y	10774895"
"55	200000000000000245	72LOVERS	10638470"
"56	5020	ﾃﾞﾚｽﾃ合同でｲｴｯﾀｲｶﾞｰ	10419192"
"57	1200000000000004933	ENJOYP@RK	10220794"
"58	1300000000000003177	夢風	10163759"
"59	1000000000000000171	オカズラウンジ	10112248"
"60	800000000000003230	猫ちぐら	10029002"
"61	200000000000001167	M@IDEN	9988081"
"62	1400000000000004909	aisle／I'll	9719913"
"63	200000000000000705	LMG	9677706"
"64	1400000000000002342	もっとﾐﾘﾏｽ楽しみ隊	9435023"
"65	200000000000000073	もずく風呂	9405077"
"66	600000000000001170	スーサイドカーマイン	9385557"
"67	421	ホグワーツ魔法魔術学校	9351104"
"68	1000000000000001389	Happy Darling	9161370"
"69	100000000000000253	ビールの美味しいお店	9070216"
"70	1000000000000005059	北上堂〜わさんぼん支部〜	9055448"
"71	103	893プロ	9037203"
"72	300000000000001206	""HELLO!!""	8951243"
"73	900000000000001612	FutureRecord	8937728"
"74	1500000000000005117	微熱S.O.S!!	8795310"
"75	900000000000000466	マケドニア王国	8770656"
"76	900000000000000066	🎀春閣下の巣窟🎀	8686978"
"77	500000000000001090	small bones(΄◞ิ౪◟ิ‵∋) <	8677859"
"78	300000000000001143	路子-PrettyRocolingirl-	8632180"
"79	1300000000000003505	カオティックコム	8531339"
"80	400000000000004049	septentrion	8507825"
"81	1500000000000003961	ちょこふぉんでゅ	8506782"
"82	300000000000000802	新765探偵事務所	8339010"
"83	100000000000003463	Soy SprouT	8315355"
"84	900000000000000376	ｲﾄｰ家の食卓	8308452"
"85	400000000000000165	REM@STER-B	8278124"
